#,tweet_id,evidence_url,claim_reviewed,indian
771,1.35804645432188E+018,https://www.boomlive.in/fact-check/fake-news-viral-clip-alcohol-distributed-farmers-protest-chakka-jam-delhi-old-video-factcheck-11868,Clip shows alcohol being distributed at the Farmers Protests,1
814,1.24102907441737E+018,https://www.altnews.in/sci-check-lifespan-of-coronavirus-outside-the-human-body-on-different-surfaces/,"Coronavirus lives for 12 hours on metal, 9 hours on fabric",1
837,1.22779287783036E+018,https://www.altnews.in/caa-protests-old-video-from-pakistan-shared-as-cow-slaughtered-on-indian-flag-in-hyderabad/,Cow slaughtered on Indian national flag in Hyderabad CAA protest,1
878,1.29529670249719E+018,https://www.altnews.in/derogatory-painting-of-hindu-deity-krishna-from-5-years-ago-revived-on-social-media/,Derogatory painting of Hindu deity Krishna made by Akram Hussain,1
880,1.29540214269024E+018,https://www.altnews.in/derogatory-painting-of-hindu-deity-krishna-from-5-years-ago-revived-on-social-media/,Derogatory painting of Hindu deity Krishna made by Akram Hussain,1
970,1.3542810499127E+018,https://www.altnews.in/video-of-khalistan-supporters-desecrating-indian-flag-is-not-from-india/,Farm bill protestors desecrating Indian national flag,1
981,1.35434253937405E+018,https://www.altnews.in/video-of-2016-rally-by-sikh-groups-against-punjab-govt-falsely-linked-to-farmers-protest/,Farmers hold pro-Khalistan rally,1
997,1.29663982544174E+018,https://www.altnews.in/simulation-video-viral-as-fireworks-set-off-for-tokyo-2020-olympic-games/,Fireworks set off for opening ceremony of Tokyo 2020 Olympic Games,1
1025,1.34794656283659E+018,https://www.altnews.in/indian-media-falsely-claims-pak-diplomat-admits-300-killed-in-balakot-airstrike/,Former Pakistani diplomat Zafar Hilaly admitted that India took down 300 people in the Balakot airstrike,1
1026,1.3478593035043E+018,https://www.altnews.in/indian-media-falsely-claims-pak-diplomat-admits-300-killed-in-balakot-airstrike/,Former Pakistani diplomat Zafar Hilaly admitted that India took down 300 people in the Balakot airstrike,1
1042,1.34818848518258E+018,https://www.altnews.in/indian-media-falsely-claims-pak-diplomat-admits-300-killed-in-balakot-airstrike/,Former Pakistani diplomat Zafar Hilaly admitted that India took down 300 people in the Balakot airstrike,1
1044,1.34792934857827E+018,https://www.altnews.in/indian-media-falsely-claims-pak-diplomat-admits-300-killed-in-balakot-airstrike/,Former Pakistani diplomat Zafar Hilaly admitted that India took down 300 people in the Balakot airstrike,1
1055,1.34793784336505E+018,https://www.altnews.in/indian-media-falsely-claims-pak-diplomat-admits-300-killed-in-balakot-airstrike/,Former Pakistani diplomat Zafar Hilaly admitted that India took down 300 people in the Balakot airstrike,1
1085,1.23912882279814E+018,https://www.altnews.in/public-tv-opindia-my-nation-run-fake-news-that-four-muslims-refuse-coronavirus-testing-in-karnataka/,"Four Muslim youths in Bhatkal, Karnataka refused coronavirus testing for religious reasons",1
1088,1.35804645432188E+018,https://www.altnews.in/old-video-falsely-shared-as-alcohol-distribution-during-farmers-protest/,Free alcohol distributed to farm bill protestors,1
1089,1.3588022358582E+018,https://www.altnews.in/old-video-falsely-shared-as-alcohol-distribution-during-farmers-protest/,Free alcohol distributed to farm bill protestors,1
1129,1.28772298890572E+018,https://www.altnews.in/goat-arrested-for-not-wearing-mask-in-kanpur-bizarre-media-misreports/,"Goat ""arrested"" for not wearing mask in Kanpur",1
1144,1.36196034634118E+018,https://www.altnews.in/old-hoax-claiming-greta-thunberg-asked-china-to-stop-using-chopsticks-to-save-trees-revived/,Greta Thunberg asked the China to stop using chopsticks to save trees,1
1157,1.23522038688887E+018,https://www.altnews.in/clipped-video-shared-to-claim-harsh-mander-instigated-violence-in-jamia-speech/,Harsh Mander said decision will not be taken in the Supreme Court but in the streets,1
1158,1.2354391499827E+018,https://www.altnews.in/clipped-video-shared-to-claim-harsh-mander-instigated-violence-in-jamia-speech/,Harsh Mander said decision will not be taken in the Supreme Court but in the streets,1
1160,1.27930989901754E+018,https://www.boomlive.in/fake-news/false-harvard-professor-arrested-for-manufacturing-novel-coronavirus-7597,Harvards Dr. Charles Lieber arrested for manufacturing the novel coronavirus with Chinas funding.,1
1413,1.25379225956225E+018,https://www.altnews.in/morphed-aaj-tak-graphic-falsely-claims-pakistan-pms-wife-and-driver-tested-positive-for-coronavirus/,Imran Khan's wife and his drive have been tested positive for coronavirus,1
1437,1.2778149907879E+018,https://www.boomlive.in/is-the-united-states-making-india-a-member-of-nato-a-factcheck/,India To Get Full NATO Membership,1
1439,1.27756751859331E+018,https://www.altnews.in/video-of-apache-helicopters-flying-over-lake-havasu-in-arizona-us-viral-as-pangong-ladakh/,India apache helicopters patrol over Pangong Tso,1
1441,1.24533915031365E+018,https://www.boomlive.in/fake-news/false-us-uk-asked-pm-modi-to-lead-18-nation-coronavirus-task-force-7475,India is leading a coronavirus task force consisting of 18 countries,1
1462,1.23157349565549E+018,https://www.altnews.in/did-indias-economy-plummet-from-3rd-largest-in-the-world-in-2011-to-6th-largest-in-2017/,India's economy plummeted from 3rd largest in 2011 to 6th largest in 2017,1
1464,1.22185423955247E+018,https://www.altnews.in/has-indias-global-hunger-index-ranking-fallen-from-55-in-2014-to-102-in-2019-a-fact-check/,India's ranking in Global Hunger Index (GHI) has fallen from 55 in 2014 to 102 in 2019,1
1468,1.34746653255356E+018,https://www.altnews.in/bjp-or-congress-sympathisers-identifying-the-trump-supporters-who-raised-indian-flag-at-capitol-hill/,Indian flag raised by Congress supporters during Capitol Hill rioting,1
1476,1.23008433931832E+018,https://www.altnews.in/2018-kulgam-blast-video-shared-in-pak-social-media-as-kashmiris-massacred-in-recent-unrest/,Indian forces are brutally killing people in Kashmir during the lockdown,1
1494,1.28813421988184E+018,https://www.altnews.in/two-year-old-video-shared-as-indians-celebrating-ram-mandir-constructions-in-spain/,Indians in Spain celebrating Ram Mandir construction,1
1499,1.29491220620777E+018,https://www.altnews.in/two-decade-old-hostage-rescue-video-from-venezuela-viral-as-spanish-police-shoot-is-terrorist/,Isis terrorist with kidnapped woman shot dead by Spain police,1
1611,1.29424013286694E+018,https://www.boomlive.in/fake-news/video-of-bahrain-kings-robot-bodyguard-not-quite-9320,King of Bahrain arrived in Dubai with his robot bodyguard fitted 360 with cameras and in built pistols.,1
1612,1.29419878660935E+018,https://www.boomlive.in/fake-news/video-of-bahrain-kings-robot-bodyguard-not-quite-9320,King of Bahrain arrived in Dubai with his robot bodyguard fitted 360 with cameras and in built pistols.,1
1631,1.29419878660935E+018,https://www.altnews.in/old-video-of-robot-titan-in-uae-defence-show-idex-shared-as-bahrain-kings-bodyguard-robot/,King of Bahrain arrives in Dubai with his robot bodyguard,1
1643,1.24314577354776E+018,https://www.altnews.in/no-korean-drama-my-secret-terrius-did-not-predict-covid-19/,"Korean drama 'My Secret, Terrius' predicted coronavirus outbreak",1
1645,1.24389931644555E+018,https://www.altnews.in/no-korean-drama-my-secret-terrius-did-not-predict-covid-19/,"Korean drama 'My Secret, Terrius' predicted coronavirus outbreak",1
1650,1.24387857788982E+018,https://www.altnews.in/no-korean-drama-my-secret-terrius-did-not-predict-covid-19/,"Korean drama 'My Secret, Terrius' predicted coronavirus outbreak",1
1677,1.29245832157277E+018,https://www.altnews.in/video-of-men-uprooting-trees-over-land-dispute-in-pakistan-viral-with-anti-muslim-angle/,Locals in Pakistan opposed tree plantation because it was un-Islamic,1
1679,1.2924766823103E+018,https://www.altnews.in/video-of-men-uprooting-trees-over-land-dispute-in-pakistan-viral-with-anti-muslim-angle/,Locals in Pakistan opposed tree plantation because it was un-Islamic,1
1684,1.29265189164256E+018,https://www.altnews.in/video-of-men-uprooting-trees-over-land-dispute-in-pakistan-viral-with-anti-muslim-angle/,Locals in Pakistan opposed tree plantation because it was un-Islamic,1
1706,1.2436099155891E+018,https://www.boomlive.in/fake-news/no-the-bombay-hc-has-not-extended-maharashtra-lockdown-till-april-30-7414,Maharashtras lockdown Extended till April 30,1
1708,1.35320826709937E+018,https://www.altnews.in/mamata-banerjees-speech-clipped-to-portray-her-as-religiously-biased-towards-muslims/,Mamata Banerjee chanting Islamic prayer,1
1709,1.35326466264997E+018,https://www.altnews.in/mamata-banerjees-speech-clipped-to-portray-her-as-religiously-biased-towards-muslims/,Mamata Banerjee chanting Islamic prayer,1
1717,1.22315819357822E+018,https://www.altnews.in/old-video-of-aap-workers-thrashing-man-who-slapped-kejriwal-revived-with-misleading-claim/,Man lynched in front of Arvind Kejriwal,1
1752,1.26022463494061E+018,https://www.boomlive.in/did-modi-promise-to-deposit-rs-15-lakh-in-every-account-a-factcheck/,Modi Promised To Deposit Rs 15 Lakh In Every Account,1
1771,1.21402738460255E+018,https://www.boomlive.in/fake-news/did-umar-khalid-raise-hinduon-se-azaadi-slogan-at-mumbai-protest-6484,Muslim And Leftists Students In Mumbai Again Raised Slogans Hinduo se Aazadi,1
1777,1.22019497568351E+018,https://www.boomlive.in/fake-news/false-women-fighting-at-shaheen-bagh-during-anti-caa-protests-6646,Muslim Women In Shaheen Bagh Fighting For Payments,1
1833,1.25507159309886E+018,https://www.altnews.in/tarek-fatah-shares-2012-mardan-church-attack-in-pakistan-as-recent/,"Muslim mob recently attacks a church and school, setting the building on fire and destroying church",1
1837,1.22869278204421E+018,https://www.altnews.in/false-claim-muslim-parties-want-to-declare-belgium-an-islamic-state-after-recent-elections/,Muslim parties in Belgium seeking to establish Islamic state,1
1841,1.23053287400198E+018,https://www.altnews.in/false-claim-muslim-parties-want-to-declare-belgium-an-islamic-state-after-recent-elections/,Muslim parties in Belgium seeking to establish Islamic state,1
1866,1.24958020115288E+018,https://www.altnews.in/video-of-woman-spitting-inside-houses-in-rajasthans-kota-given-false-anti-muslim-angle/,Muslim woman spit inside houses in Rajasthan's Kota to spread coronavirus,1
1912,1.27946414135112E+018,https://www.boomlive.in/world/coronavirus/no-neem-leaves-cannot-treat-the-novel-coronavirus-either-7686,Neem leaves can cure the novel Coronavirus and relieve its symptoms.,1
1923,1.25213519366364E+018,https://www.boomlive.in/fake-news/two-year-old-bmc-appeal-on-drinking-boiled-water-viral-as-recent-7747,Newspaper Clipping Shows BMC Appeal To Drink Boiled Water For  Next Seven Days,1
1927,1.25290723264934E+018,https://www.boomlive.in/no-nitin-gadkari-did-not-say-we-made-false-promises-to-win-2014-elections/,Nitin Gadkari Said That ‘We Made False Promises to Win 2014 Elections’,1
2099,1.28110026784549E+018,https://www.boomlive.in/were-pakistan-flags-spotted-in-jalandhar-a-factcheck/,"Pakistan Flag Hoisted In Vijay Colony Of Jalandhar, Punjab",1
2111,1.24287337730982E+018,https://www.altnews.in/hostage-rescue-drill-video-at-senegal-airport-viral-with-coronavirus-spin/,Passengers infected with coronavirus on Ethiopian Airlines flight from Italy to Addis Ababa airport,1
2112,1.2695965520263E+018,https://www.altnews.in/unrelated-video-falsely-viral-as-hospital-murders-patient-to-show-surge-in-coronavirus-deaths/,Patients are being killed in hospitals to show a surge in coronavirus deaths,1
2126,1.2452449081489E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2129,1.24527156828599E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2130,1.24532343682344E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2131,1.24536679527345E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2132,1.24537762460967E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2133,1.24523655246618E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2134,1.24501510878028E+018,https://www.altnews.in/video-of-sufi-ritual-falsely-viral-as-mass-sneezing-in-nizamuddin-mosque-to-spread-coronavirus-infection/,People mass sneezing in Nizamuddin to spread coronavirus,1
2315,1.29102098801283E+018,https://www.boomlive.in/fake-news/image-of-hindu-deity-ram-on-billboards-in-times-square-is-photoshopped,Post claims images of Hindu deity Ram have been displayed on billboards across Times Square,1
2384,1.21402738460255E+018,https://www.altnews.in/no-umar-khalid-did-not-raise-hinduo-se-azadi-slogan-at-gateway-of-india-mumbai/,Protesters at Mumbai's Gateway of India led by former JNU student Umar Khalid raised Hinduo se Azaadi slogans,1
2406,1.35398678089938E+018,https://www.altnews.in/farmers-protest-no-protestors-did-not-replace-tricolour-with-khalistan-flag-at-red-fort/,Protesting farmers replace Indian flag with Khalistan flag on Red Fort,1
2422,1.26753637755546E+018,https://www.boomlive.in/world/did-protesters-storm-the-white-house-a-fact-check-8324,Protestors stormed the White House causing US President Donald Trump to flee.,1
2433,1.2852444568877E+018,https://www.altnews.in/did-jawaharlal-nehru-ever-say-i-am-english-by-education-muslim-by-culture-and-hindu-by-accident/,"Quote ascribed to Jawaharlal Nehru: ""I am English by education, Muslim by culture and Hindu only by accident of birth""",1
2441,1.36004242376276E+018,https://www.altnews.in/8-year-old-image-rss-workers-relief-work-chamoli-uttrakhand-glacier-break/,RSS carrying out relief work in Uttarakhand after 2021 glacier break,1
2450,1.29414030909433E+018,https://www.boomlive.in/fake-news/no-communal-motive-behind-placing-flag-on-shakaracharya-statue-ktaka-police-9323,"Rafiq and Sahil involved in putting SDPI flag atop Shree Shankaracharya statue in Sringeri, Karnataka",1
2502,1.28093017041358E+018,https://www.altnews.in/sambit-patra-rubbishes-rape-allegation-against-him-circulating-on-social-media/,Rape allegation against Sambit Patra,1
2510,1.24177561592299E+018,https://www.boomlive.in/coronavirustopstories/no-government-is-not-spraying-medicine-to-kill-coronavirus-7284,Residents should stay at home at night as overnment is going to spray medicine to kill Coronavirus,1
2533,1.29414030909433E+018,https://www.altnews.in/sdpi-muslim-community-falsely-blamed-for-placing-flag-atop-shankaracharya-statue-in-sringeri/,"SDPI, Muslims placed flag atop Shankaracharya statue in Sringeri",1
2686,1.29587736680849E+018,https://www.boomlive.in/fake-news/secret-codes-to-prevent-phone-snooping-heres-what-they-actually-do-6285,Service codes *#61# and ##002# can be used to identify and secure your phone from being monitored by third parties.,1
2756,1.27802966815991E+018,https://www.altnews.in/murder-of-rss-worker-by-alleged-bjp-member-in-tamil-nadu-shared-with-false-claims/,"Swayam Sevak's father murdered by extremists, Muslims in Kumbakonam",1
2801,1.35120581588201E+018,https://www.boomlive.in/world/bacterial-pneumonia-is-not-caused-by-wearing-face-masks-10331,The 1918 influenza pandemic originated from bacterial pneumonia caused by face masks and Dr Anthony Fauci knew about it.,1
2847,1.25554607398616E+018,https://www.boomlive.in/world/exclusive-video-of-kim-jong-uns-funeral-not-quite-7874,This video is from Kim Jong-uns funeral.,1
2860,1.25006556639788E+018,https://www.altnews.in/tree-grows-through-car-overnight-no-it-is-an-art-installation/,Tree grows through car overnight,1
2943,1.25339444935216E+018,https://www.boomlive.in/fake-news/video-of-islamic-funeral-home-in-new-york-viral-with-communal-claim-7803,Video Show The Dawah Group Is littered With Dead Bodies Inside Their Own Apartments,1
2944,1.2542737030866E+018,https://www.boomlive.in/fake-news/video-of-islamic-funeral-home-in-new-york-viral-with-communal-claim-7803,Video Show The Dawah Group Is littered With Dead Bodies Inside Their Own Apartments,1
2945,1.25439136597643E+018,https://www.boomlive.in/fake-news/video-of-islamic-funeral-home-in-new-york-viral-with-communal-claim-7803,Video Show The Dawah Group Is littered With Dead Bodies Inside Their Own Apartments,1
2946,1.25368770723607E+018,https://www.boomlive.in/fake-news/video-of-islamic-funeral-home-in-new-york-viral-with-communal-claim-7803,Video Show The Dawah Group Is littered With Dead Bodies Inside Their Own Apartments,1
2959,1.24396838657865E+018,https://www.boomlive.in/fake-news/false-passengers-infected-with-coronavirus-at-senegal-airport-7269,Video Shows Passengers With Coronavirus Getting Out Of Ethiopian Airlines Flight From Italy To Addis Ababa Airport.,1
2961,1.21856480049974E+018,https://www.boomlive.in/fast-check/kanhaiya-kumar-converts-to-islam-no-doctored-video-revived-6590,Video claiming Kanhaiya Kumar has converted to Islam.,1
2983,1.22279429619089E+018,https://www.altnews.in/bjp-mla-karni-singh-toppled-ambedkars-statue-old-video-false-claim/,Video of Ambedkar statue toppled by BJP MLA Karni Singh,1
3005,1.26195493740514E+018,https://www.altnews.in/sp-leader-abu-azmis-supporters-did-not-chant-pakistan-zindabad-video-viral-with-false-claim/,Video of SP leader Abu Azmi's supporter raising Pakistan Zindabad slogans at Wadala station,1
3010,1.2644328147512E+018,https://www.altnews.in/sp-leader-abu-azmis-supporters-did-not-chant-pakistan-zindabad-video-viral-with-false-claim/,Video of SP leader Abu Azmi's supporter raising Pakistan Zindabad slogans at Wadala station,1
3016,1.26276198175424E+018,https://www.altnews.in/old-video-of-dmk-leader-assaulting-woman-resurfaces-as-attacking-doctor/,Video of a DMK leader Selvakumar assaulting a lady doctor,1
3017,1.26281528032725E+018,https://www.altnews.in/old-video-of-dmk-leader-assaulting-woman-resurfaces-as-attacking-doctor/,Video of a DMK leader Selvakumar assaulting a lady doctor,1
3018,1.26706610458671E+018,https://www.altnews.in/old-video-of-dmk-leader-assaulting-woman-resurfaces-as-attacking-doctor/,Video of a DMK leader Selvakumar assaulting a lady doctor,1
